sample_id,journal,journal_slug,source_tier,year,article_title,doi,pmcid,figure_id,article_url,source_image_url,resolved_image_url,license,license_url,rights_status,third_party_review,caption_score,caption,asset_path,content_type,size_bytes,sha256,inspection_status
isme-001-PMC13528865-f1,The ISME Journal,isme,core,2026,Yeast–Fusarium interactions and mycotoxin modulation in the phyllosphere,10.1093/ismejo/wrag187,PMC13528865,f1,https://pmc.ncbi.nlm.nih.gov/articles/PMC13528865/,https://cdn.ncbi.nlm.nih.gov/pmc/blobs/e290/13528865/ff9923156284/wrag187f1.webp,https://cdn.ncbi.nlm.nih.gov/pmc/blobs/e290/13528865/ff9923156284/wrag187f1.webp,https://creativecommons.org/licenses/by/4.0/,https://creativecommons.org/licenses/by/4.0/,mirror_allowed_ccby_or_cc0,caption_screen_pass,8,"Intraspecific colonization and inhibition of F. graminearum by the wheat phyllosphere yeast isolates Aureobasidium and Metschnikowia . Yeast population densities during interaction with F. graminearum and growth inhibition of F. graminearum are shown for Aureobasidium (A) and Metschnikowia (B) isolates after 9 dpi. Green ( Aureobasidium spp.) and yellow ( Metschnikowia spp.) bars represent yeast leaf colonization (log10-transformed) in the presence of F. graminearum (log10 CFU/0.5cm 2 lesion, mean ± SE). Grey bars represent inhibition percentage of F. graminearum (mean ± SE) relative to control ( Fusarium -inoculated leaves). Each treatment consisted of three replicate plates from a detached leaf assay, each containing six leaves with two lesions per leaf ( n = 3), except for F159 and F479 where one lesion, from one leaf, from one plate, was removed due to yellowing. Leaf lesion sizes were used as a proxy for pathogen growth and were calculated using Leica M205C and ImageJ. Statistical analysis was conducted using one-way ANOVA and Dunnett’s correction, and significant differences in lesion sizes between yeast-inoculated leaves and control ( F. graminearum only) are indicated with an asterisk ( P < .05).",assets/raw/isme/isme-001-PMC13528865-f1.webp,image/webp,42124,27e684da1c0efe8687232e7552fc51c761d268d5c2b3a3612a72d1910cb1ac73,downloaded_unannotated
isme-002-PMC13525550-f3,The ISME Journal,isme,core,2026,Field strains of the unicellular alga Chlamydomonas reinhardtii exhibit multicellular characteristics that shape their interactions,10.1093/ismejo/wrag202,PMC13525550,f3,https://pmc.ncbi.nlm.nih.gov/articles/PMC13525550/,https://cdn.ncbi.nlm.nih.gov/pmc/blobs/e8ea/13525550/d58d2ec9aaf5/wrag202f3.webp,https://cdn.ncbi.nlm.nih.gov/pmc/blobs/e8ea/13525550/d58d2ec9aaf5/wrag202f3.webp,https://creativecommons.org/licenses/by/4.0/,https://creativecommons.org/licenses/by/4.0/,mirror_allowed_ccby_or_cc0,caption_screen_pass,8,"Metabolism and nutrition of C. reinhardtii strains. (A) Normalized abundance (z-scores of mean abundance values) and abundance range (minimum and maximum abundance values) of proteins involved in metabolism and nutrition. (B, C) Photosynthetic activity measured by variable Chl fluorescence (B) and O 2 production rate (C). (D) Respiratory activity measured by O 2 consumption rate. For the Fe limited condition, numbers in bars indicate the percent of activity per cell relative to an iron replete control inoculated in parallel. (E) Elemental content of biomass measured by ICPMS, presented as a ratio to sulfur as a proxy for normalizing to total biomass.",assets/raw/isme/isme-002-PMC13525550-f3.webp,image/webp,194914,f7f9c738788f70d31e17e3c5e30893a7f0dfcb626d4154d4b10c7bf5dd5e27c2,downloaded_unannotated
isme-003-PMC13525550-f7,The ISME Journal,isme,core,2026,Field strains of the unicellular alga Chlamydomonas reinhardtii exhibit multicellular characteristics that shape their interactions,10.1093/ismejo/wrag202,PMC13525550,f7,https://pmc.ncbi.nlm.nih.gov/articles/PMC13525550/,https://cdn.ncbi.nlm.nih.gov/pmc/blobs/e8ea/13525550/a07da9081141/wrag202f7.webp,https://cdn.ncbi.nlm.nih.gov/pmc/blobs/e8ea/13525550/a07da9081141/wrag202f7.webp,https://creativecommons.org/licenses/by/4.0/,https://creativecommons.org/licenses/by/4.0/,mirror_allowed_ccby_or_cc0,caption_screen_pass,7,"Chlamydomonas–Brevundimonas symbiosis. (A) Growth of Bl-2 when inoculated into minimal medium with no organic carbon source, in spent medium from C. reinhardtii , in coculture with C. reinhardtii , and in C. reinhardtii cell lysate, plotted with previously published data of model bacterial partner M. japonicum [ 11 ]. This experiment was conducted with autotrophic C. reinhardtii lab strain AHS-32 and bacteria inoculated at much higher density than the cocultures shown in panels (C–F) to enable direct comparison to the M. japonicum system. (B) Algal death required to account for observed growth of each bacterium in coculture if all growth was derived from algal necromass, calculated based on bacterial growth on algal lysate. Actual algal death measured by CellTox fluorescence. Numbers above bars indicate the percent of required values realized by measured values. (C) Growth of Bl-2 in monoculture vs. coculture with different autotrophic C. reinhardtii strains. (D, E) Growth of autotrophic C. reinhardtii strains in monoculture vs. coculture, measured by cell counts (D) and biomass TOC (E). (F) TOC of spent medium from autotrophic C. reinhardtii strains in monoculture vs. coculture demonstrating strain-level differences in exudation. (G, H) Fluorescence microscopy of Bl-2 cocultures with JG4-1 (G) and CC-5390 (H). DAPI staining is shown in cyan; Chl fluorescence is shown in magenta.",assets/raw/isme/isme-003-PMC13525550-f7.webp,image/webp,80886,0917884b4d92160684c6a26b8c76ccf2c6d63d6dbfde0791cab76227cea4c496,downloaded_unannotated
isme-004-PMC13525553-f5,The ISME Journal,isme,core,2026,"Intracellular accumulation of hydrophobic 1,3-PDN inhibits methanogenesis in rumen methanogens",10.1093/ismejo/wrag200,PMC13525553,f5,https://pmc.ncbi.nlm.nih.gov/articles/PMC13525553/,https://cdn.ncbi.nlm.nih.gov/pmc/blobs/eb61/13525553/fa79add935cb/wrag200f5.webp,https://cdn.ncbi.nlm.nih.gov/pmc/blobs/eb61/13525553/fa79add935cb/wrag200f5.webp,https://creativecommons.org/licenses/by/4.0/,https://creativecommons.org/licenses/by/4.0/,mirror_allowed_ccby_or_cc0,caption_screen_pass,51,"Effect of 1,3-PDN on methanogenesis in M. olleyae from the rumen of Hu sheep. (A) Workflow for the experimental design; (B) time–course curve of CH 4 accumulation (mmol/L) during incubation (d); CH 4 concentration was monitored throughout the incubation period. 1,3-PDN was added on Day 2 of incubation and samples collected on Day 4 were subjected to proteomic analysis. NS, No significant difference in CH 4 concentration was observed among groups before inhibitor addition; (C) top 10 most affected KEGG pathways, including methane metabolism (ko00680), ribosome (ko03010), porphyrin metabolism (ko00860), aminoacyl-tRNA biosynthesis (ko00970), purine metabolism (ko00230), cysteine and methionine metabolism (ko00270), glycolysis (ko00010), folate biosynthesis (ko00790), pyrimidine metabolism (ko00240), and DNA replication (ko03030); (D) comparison of abundance for proteins involved in CO 2 /H 2 methanogenesis pathway (KEGG pathway entry MD:M00567) between Control and 1,3-PDN supplementation. Data with error bars are expressed as mean ± standard error. Data with insignificant differences were present in Supplementary Fig. S14 . * P < .05, ** P < .01, *** P < .001, n = 5; 1,3-PDN, 1,3-propanediol dinitrate; M. olleyae, Methanobrevibacter olleyae. The schematic diagram was created using BioRender.",assets/raw/isme/isme-004-PMC13525553-f5.webp,image/webp,98602,8b6196a2813ff3b36b88ecbdef13fd723ff80fb568ef5dd471d78f87200eafa9,downloaded_unannotated
isme-005-PMC13525553-f6,The ISME Journal,isme,core,2026,"Intracellular accumulation of hydrophobic 1,3-PDN inhibits methanogenesis in rumen methanogens",10.1093/ismejo/wrag200,PMC13525553,f6,https://pmc.ncbi.nlm.nih.gov/articles/PMC13525553/,https://cdn.ncbi.nlm.nih.gov/pmc/blobs/eb61/13525553/db379731f794/wrag200f6.webp,https://cdn.ncbi.nlm.nih.gov/pmc/blobs/eb61/13525553/db379731f794/wrag200f6.webp,https://creativecommons.org/licenses/by/4.0/,https://creativecommons.org/licenses/by/4.0/,mirror_allowed_ccby_or_cc0,caption_screen_pass,32,"Effects of nitrite on methanogenesis in M. olleyae from the rumen of Hu sheep (B, C) and in ruminal batch culture (D, E). (A) Workflow for the experimental design. Control, nitrate (NO 3 − , negative treatment), and nitrite (NO 2 − ). The CH 4 concentrations were continuously monitored during the incubation. (B) Time-course curve of CH 4 accumulation (mmol/L) during incubation (d, n = 3). Inhibitors were added on Day 3 of incubation. (C) Comparison of CH 4 production (µmol) among treatment groups on Day 9. (D) Kinetics of CH 4 accumulation (ml/g DM, n = 6). (E) Comparison of CH 4 production (mL) among treatment groups at 48 h. The concentrations of nitrate and nitrite were determined based on a nitrogen-equivalent principle relative to the applied concentration of 1,3-PDN. NS, no significant difference in CH 4 concentration was observed among groups before inhibitors addition. Data with error bars are expressed as mean ± standard error. *** P < .001; 1,3-PDN, 1,3-propanediol dinitrate; M. olleyae, Methanobrevibacter olleyae . The schematic diagram was created using BioRender.",assets/raw/isme/isme-005-PMC13525553-f6.webp,image/webp,50516,a302d720cccd7a4de6518a6fefd21848b04288038b0cc893bdbd2ecd056642f4,downloaded_unannotated
isme-006-PMC13521525-f5,The ISME Journal,isme,core,2026,Extracellular wax ester biosynthesis by staphylococcal lipases detoxifies skin fatty acids and shapes interspecies competition,10.1093/ismejo/wrag148,PMC13521525,f5,https://pmc.ncbi.nlm.nih.gov/articles/PMC13521525/,https://cdn.ncbi.nlm.nih.gov/pmc/blobs/a8db/13521525/6b99abeadad8/wrag148f5.webp,https://cdn.ncbi.nlm.nih.gov/pmc/blobs/a8db/13521525/6b99abeadad8/wrag148f5.webp,https://creativecommons.org/licenses/by/4.0/,https://creativecommons.org/licenses/by/4.0/,mirror_allowed_ccby_or_cc0,caption_screen_pass,17,"Staphylococcal lipases detoxify AFAs with fatty alcohols via wax ester production. (a) Staphylococcus aureus USA300 JE2 deficient for Lip1 and Lip2 (Δ lip1/2 ) carrying an empty vector (EV) or Δ lip1/2 complemented with p lip1 , p lip2 , p ssL , p gehC , or pgehD were grown for 24 h in basic medium (BM) supplemented with 300 μM palmitoleic acid (PA) and 300 μM palmitoleyl alcohol (POH). After 24 h incubation, cultures were serially diluted and plated on TSA for CFU counting. (b–c) Supernatants and bacterial pellets of the cultures described in (a) were processed for lipidomic analysis via hydrophilic interaction liquid chromatography ion-mobility mass spectrometry (HILIC-IM-MS). Palmitoleic acid 16:1 ( m/z 253.217) in negative ion mode ([M-H] − ) from supernatants (b) and bacterial pellets (c) was measured. (d) Schematic representation of the lipase-catalysed esterification of palmitoleic acid and palmitoleyl alcohol leading to the production of wax ester (WE) palmitoleyl palmitoleate and water (H 2 O). (e–f) WE palmitoleyl palmitoleate 32:2 ( m/z 477.4657) measurement using HILIC-IM-MS in positive mode ([M + H] + ) from supernatants (e) and bacterial pellets (f) described in (a–c). (g–h) Recombinant S. aureus lipases Lip1 and Lip2 (1 μg/mL) were incubated for 10 to 120 min with 100 μM PA and 100 μM POH before lipid extraction and analysis using HILIC-IM-MS in positive and negative ion modes. Palmitoleyl palmitoleate WE 32:2 ( m/z 477.466 – g) and palmitoleic acid FA (fatty acid) 16:1 ( m/z 253.217–h) were measured. “No Lip” corresponds to 120 min incubation of PA and POH without recombinant lipase. (i) EV-bearing wild-type USA300 JE2 and Δ lip1/2 or Lip1- or Lip2-proficient Δ lip1/2 mutant (complemented with p lip1 or p lip2 , respectively) were cultivated in BM, BM supplemented with PA, PA, and POH, PA and palmitoleyl palmitoleate (WE), or PA + POH + WE (50 μM of each lipid) for 24 h. Area under the growth curves are shown in arbitrary units (AU). Data are means ± SD ( n = 3 to 5). Statistical significance was determined by one-way ANOVA with Dunnett’s multiple comparisons test relative to the Δ lip1/2 carrying EV (a–f) or the No Lip condition (g–h). Two-way ANOVA with Tukey’s comparisons test was applied to (i) for statistical analysis. * , P < .05; ** , P < .01; *** , P < .001; **** , P < .0001.",assets/raw/isme/isme-006-PMC13521525-f5.webp,image/webp,148638,7a9d251542e75ee4f59cb4acdf08128b117509e1aacb9eac892a9d98252fe12e,downloaded_unannotated
isme-007-PMC13521525-f8,The ISME Journal,isme,core,2026,Extracellular wax ester biosynthesis by staphylococcal lipases detoxifies skin fatty acids and shapes interspecies competition,10.1093/ismejo/wrag148,PMC13521525,f8,https://pmc.ncbi.nlm.nih.gov/articles/PMC13521525/,https://cdn.ncbi.nlm.nih.gov/pmc/blobs/a8db/13521525/78e144a695b7/wrag148f8.webp,https://cdn.ncbi.nlm.nih.gov/pmc/blobs/a8db/13521525/78e144a695b7/wrag148f8.webp,https://creativecommons.org/licenses/by/4.0/,https://creativecommons.org/licenses/by/4.0/,mirror_allowed_ccby_or_cc0,caption_screen_pass,12,"Salt stress alleviates AFA toxicity toward S. aureus . (a) Wild-type USA300 JE2 and its isogenic lipase-deficient mutant Δ lip1/2 were grown for 24 h in plain medium [basic medium (BM) or BM supplemented with 1.5% NaCl], or medium supplemented palmitoleic acid (PA–50 or 100 μM), or equimolar concentrations of PA and palmitoleyl alcohol (POH–50 or 100 μM). Area under the growth curves in arbitrary units (AU) were computed. (b–e) WT S. aureus or Δ lip1/2 mutant was cultured alone or co-cultured with S. simulans for 24 h to form biofilms. Bacteria were grown in plain medium (BM or BM supplemented with 1.5% NaCl), or medium supplemented with 100 μM PA or 100 μM PA and 100 μM POH. Biofilms were mechanically disrupted, serially diluted and selectively plated for colony-forming unit (CFU) enumeration. CFU counts (b and d) were used to calculate the relative abundance of S. aureus (WT–c or Δ lip1/2 –e) and S. simulans . LOD indicates the limit of detection [log 10 (203 CFU/mL) = 2.3]. Data shown are means ± SD of three or four biological replicates. Statistical significance was determined by two-way ANOVA with Tukey’s multiple comparisons test. * , P < .05; *** , P < .001; **** , P < .0001.",assets/raw/isme/isme-007-PMC13521525-f8.webp,image/webp,149258,9d3bb5ab4e81a5a88fca408af1aa8a79847da723c064badaab37c2141c7607be,downloaded_unannotated
isme-008-PMC13502202-f6,The ISME Journal,isme,core,2026,Mutations in filamentous bacteriophages spark eco-evolutionary feedbacks in Pseudomonas aeruginosa,10.1093/ismejo/wrag193,PMC13502202,f6,https://pmc.ncbi.nlm.nih.gov/articles/PMC13502202/,https://cdn.ncbi.nlm.nih.gov/pmc/blobs/91b2/13502202/426f9a7f4e8c/wrag193f6.webp,https://cdn.ncbi.nlm.nih.gov/pmc/blobs/91b2/13502202/426f9a7f4e8c/wrag193f6.webp,https://creativecommons.org/licenses/by/4.0/,https://creativecommons.org/licenses/by/4.0/,mirror_allowed_ccby_or_cc0,caption_screen_pass,15,"Conceptual overview of eco-evolutionary feedback observed across HD and LD populations. Colours represent lineages of bacteria in a single population. Bacterial genomes represented with a single prophage region (in red) for simplicity. (A) A mutation disabling the prophage repressor occurs in the green lineage. At an unknown timepoint, a mutation disabling the TIVP occurs in a different lineage (in orange). (B) The repressor mutation causes hyperactive phage production that spreads to hosts in another lineage with functional TIVP (in blue). (C) Hyperactive phage proliferate in the media, infecting most cells. (D) By reducing the growth rate of their hosts, hyperactive phage selectively favour TIVP mutants, ultimately driving their own extinction. The ancestral prophage persists unaltered in the surviving lineage. Created in BioRender. Turner, P. (2026) https://BioRender.com/1ciha2y .",assets/raw/isme/isme-008-PMC13502202-f6.webp,image/webp,51558,fd0f04239e473a1203fb784fa31615b784da0fb7c4f7e5fac819e57a00c44ec7,downloaded_unannotated
isme-009-PMC13440305-f6,The ISME Journal,isme,core,2026,Photosynthesis-driven interactions in the phycosphere enhance bacterial extracellular superoxide production,10.1093/ismejo/wrag175,PMC13440305,f6,https://pmc.ncbi.nlm.nih.gov/articles/PMC13440305/,https://www.ncbi.nlm.nih.gov/core/lw/2.0/html/tileshop_pmc/tileshop_pmc_inline.html?title=Click%20on%20image%20to%20zoom&p=PMC3&id=13440305_wrag175f6.jpg,https://cdn.ncbi.nlm.nih.gov/pmc/blobs/fe3e/13440305/15f068ff8280/wrag175f6.jpg,https://creativecommons.org/licenses/by/4.0/,https://creativecommons.org/licenses/by/4.0/,mirror_allowed_ccby_or_cc0,caption_screen_pass,45,"Proposed working model for photosynthesis-enhanced bacterial extracellular O 2 •− production in the algal–bacterial phycosphere. The schematic summarizes interacting phycosphere-associated processes that contribute to QJX-1-associated extracellular O 2 •− production at the algal–bacterial interface. (1) NAD(P)H-responsive pathway: Illuminated cocultures establish a photosynthesis-associated extracellular redox-active environment. Algal-derived reduced nicotinamide cofactors (NADPH) stimulate a diphenyleneiodonium (DPI)-sensitive, bacterial NOX-like oxidoreductase activity, driving the one-electron reduction of molecular oxygen to extracellular O 2 •− . This activity is localized at the bacterial cell surface/interface, consistent with the detected membrane-associated and extracellular NOX-like activity. This model serves as a functional descriptor and does not assign this activity to a specific molecularly identified enzyme. (2) Siderophore-associated pathway: During carbon starvation, algal metabolites sustain bacterial redox responsiveness, while microscale Fe competition and catecholate siderophore accumulation drive respiratory redox modulation, acting as a respiration-linked regulatory contribution to enhanced bacterial O 2 •− formation. (3) Additional environmental enhancement: Representative extracellular redox-active and algal photoactive components (e.g. cytochrome c and chlorophyll a ) further modulate and enhance the bacterial O 2 •− response under defined experimental conditions. Created with BioRender.com .",assets/raw/isme/isme-009-PMC13440305-f6.jpg,image/jpeg,85837,925633b917e349a5df5d81736742f1d388458751d258084bd4701941583d5d3f,downloaded_unannotated
isme-014-PMC13440307-f1,The ISME Journal,isme,core,2026,Metabolic interactions enable aerobic degradation of the environmental pollutant BDE-47,10.1093/ismejo/wrag163,PMC13440307,f1,https://pmc.ncbi.nlm.nih.gov/articles/PMC13440307/,https://www.ncbi.nlm.nih.gov/core/lw/2.0/html/tileshop_pmc/tileshop_pmc_inline.html?title=Click%20on%20image%20to%20zoom&p=PMC3&id=13440307_wrag163f1.jpg,https://cdn.ncbi.nlm.nih.gov/pmc/blobs/02c3/13440307/90e63058023b/wrag163f1.jpg,https://creativecommons.org/licenses/by/4.0/,https://creativecommons.org/licenses/by/4.0/,mirror_allowed_ccby_or_cc0,caption_screen_pass,14,"Phylogenetic analysis of R. wittichii YL-JM2C and its degradation of BDE-47. (a) The ANI values between strain YL-JM2C and other nine strains. Type strains are marked with “[T]”. (b) Growth of strain YL-JM2C and the dissipation of BDE-47. (c) Whole-cell biotransformation of BDE-47 by strain YL-JM2C. The concentrations of BDE-47 and 2,4-DBP were measured by HPLC. (d) Proposed pathway of BDE-47 catabolism in strain YL-JM2C.",assets/raw/isme/isme-014-PMC13440307-f1.jpg,image/jpeg,83177,f65b54c6870d0904b88e3d933ab5b24e18776fa7988287e2e0d0bf038d886ace,downloaded_unannotated
isme-015-PMC13557118-f5,The ISME Journal,isme,core,2026,Influence of cell–cell distance on the ecology and evolution of microbial communities,10.1093/ismejo/wrag199,PMC13557118,f5,https://pmc.ncbi.nlm.nih.gov/articles/PMC13557118/,https://cdn.ncbi.nlm.nih.gov/pmc/blobs/d382/13557118/492d806dbf5d/wrag199f5.webp,https://cdn.ncbi.nlm.nih.gov/pmc/blobs/d382/13557118/492d806dbf5d/wrag199f5.webp,https://creativecommons.org/licenses/by/4.0/,https://creativecommons.org/licenses/by/4.0/,mirror_allowed_ccby_or_cc0,caption_screen_pass,27,"Conceptual models of distance-dependent interpopulation interactions and their ecological outcomes in microbial communities. (A) Three possible profiles characterizing the positive effects of the exchange of nutritional metabolites and the negative effects of toxin-mediated antagonistic interactions on recipient cell growth as a function of relative interpopulation distance. The bottom plots show the resulting net effect on population growth. Here, we assume that toxins act over a longer spatial range than nutritional metabolites (see box 1 illustration). Scenario 1 (S1): toxin-mediated inhibition exceeds the benefits of metabolite exchange across all distances, resulting in consistently negative interactions. Scenario 2 (S2): toxins dominate at short distances, whereas metabolite-mediated benefits prevail at intermediate distances, leading to a positive interaction window flanked by inhibition at both shorter and longer distances. Scenario 3 (S3): positive effects dominate at short distances but are overtaken by negative effects as distance increases. (B) Pairwise combinations of these unidirectional profiles generate distance-dependent trajectories of bidirectional interactions across six distinct combinations. Interaction types include: Mutualism (+, +), Competition (−, −), Exploitation (+, −) or (−, +), Commensalism (+, 0) or (0, +), Amensalism (−, 0) or (0, −), and Neutralism (0, 0). The colored trajectories represent distinct dynamic spatial shifts as interpopulation distance increases, with a triangle marking the starting point and the endpoint. The six panels illustrate these representative trajectories: competition across all distances (S1–S1), competition–exploitation–competition (S1–S2), competition–mutualism–competition (S2–S2), short-range exploitation followed by competition (S1–S3), short-range mutualism followed by competition (S3–S3), and exploitation–mutualism–exploitation–competition (S2–S3). For the scenarios of S1–S1, S2–S2, and S3–S3, only the trajectories when both sides of unidirectional interactions follow the same quantitative relationship with distance are listed. When they follow different relationships, more complex trajectories arise, and we list three possible trajectories when pairing S3 with S3 in the right panel. (C) Consistent with S2, P. aeruginosa and S. aureus coexist only when their interpopulation distance is within a certain intermediate distance window [ 96 , 97 ]. (D) Consistent with the bidirectional S2–S2 case, three interacting species stably coexist and achieve substantial growth only at a range of intermediate separation distances.",assets/raw/isme/isme-015-PMC13557118-f5.webp,image/webp,112096,ad3c2f47cf31d66a694358cd9f0c80036550410145e17911ad353ca55882851d,downloaded_unannotated
isme-016-PMC13557118-f1,The ISME Journal,isme,core,2026,Influence of cell–cell distance on the ecology and evolution of microbial communities,10.1093/ismejo/wrag199,PMC13557118,f1,https://pmc.ncbi.nlm.nih.gov/articles/PMC13557118/,https://cdn.ncbi.nlm.nih.gov/pmc/blobs/d382/13557118/6ae33456a5cc/wrag199f1.webp,https://cdn.ncbi.nlm.nih.gov/pmc/blobs/d382/13557118/6ae33456a5cc/wrag199f1.webp,https://creativecommons.org/licenses/by/4.0/,https://creativecommons.org/licenses/by/4.0/,mirror_allowed_ccby_or_cc0,caption_screen_pass,25,"Conceptual overview of the definitions of intra- and interpopulation distances in this review. The four scenarios are arranged in a 2 × 2 grid defined by two distance axes: intrapopulation distance and interpopulation distance. Intrapopulation distance refers to the distance between cells within the same population, and interpopulation distance refers to the distance between cells from different populations. This framework yields four distinct ecological scenarios: (I) long intrapopulation and long interpopulation distances: planktonic, low-density states; (II) short intrapopulation but long interpopulation distances: different populations form discrete, spatially segregated aggregates; (III) long intrapopulation but short interpopulation distances: solitary cells; and (IV) short intrapopulation and short interpopulation distances: dense, intermixed multi-species biofilms.",assets/raw/isme/isme-016-PMC13557118-f1.webp,image/webp,50420,a5e4611f447838595cae286d563480cfbe332806e0ed394dda04eea1c9f943ee,downloaded_unannotated
isme-017-PMC13552498-f3,The ISME Journal,isme,core,2026,Fungicide and warming interact to reduce soil ecosystem functioning,10.1093/ismejo/wrag196,PMC13552498,f3,https://pmc.ncbi.nlm.nih.gov/articles/PMC13552498/,https://cdn.ncbi.nlm.nih.gov/pmc/blobs/78a6/13552498/f58a83df2c87/wrag196f3.webp,https://cdn.ncbi.nlm.nih.gov/pmc/blobs/78a6/13552498/f58a83df2c87/wrag196f3.webp,https://creativecommons.org/licenses/by/4.0/,https://creativecommons.org/licenses/by/4.0/,mirror_allowed_ccby_or_cc0,caption_screen_pass,8,"Barley ( Hordeum vulgare ) was grown in sterile compost inoculated with week-16 soil communities, with a history of exposure to Control, Fungicide-only, Warming-only or Warming+Fungicide conditions. Plants were cultivated under common garden control conditions (i.e. 26°C and no added fungicide). Vegetative growth responses are shown at Day 20: (a) root length (b) shoot biomass and (c) root biomass. Each black data point represents the mean of 1–3 replicate plants for an individual community. The median (central line), interquartile range (box), and 1.5 × interquartile range (whiskers) are shown. Between-treatment significance levels (emmeans) are denoted as: * P < .05, ** P < .01, *** P < .001, **** P < .0001. Panel d-f shows a single mean value for (d) root length, (e) shoot biomass and (f) root biomass across four soil community treatments. P values in red show whether there is a significant fungicide × warming interaction for the corresponding response variable.",assets/raw/isme/isme-017-PMC13552498-f3.webp,image/webp,74800,67cf067e5d7ee0fedeccdb0ba68d61278f52b35d27a5cbfb7a526a9a2552d947,downloaded_unannotated
isme-018-PMC13548328-f3,The ISME Journal,isme,core,2026,Genome-wide association analysis reveals specialization to hosts and niches in multiple species of the Lactobacillaceae,10.1093/ismejo/wrag198,PMC13548328,f3,https://pmc.ncbi.nlm.nih.gov/articles/PMC13548328/,https://cdn.ncbi.nlm.nih.gov/pmc/blobs/b897/13548328/5fdeb3ecdf9d/wrag198f3.webp,https://cdn.ncbi.nlm.nih.gov/pmc/blobs/b897/13548328/5fdeb3ecdf9d/wrag198f3.webp,https://creativecommons.org/licenses/by/4.0/,https://creativecommons.org/licenses/by/4.0/,mirror_allowed_ccby_or_cc0,caption_screen_pass,4,Results from the logistic regression analysis. (A) P -values and McFadden’s R 2 values (effect size of the feature) calculated for logistic regression models with only one generalist/specialist predictor (rows). (B) AUC curves for six logistic regression models. (C) the values of the top three predictors used in the best logistic regression model. The species are sorted based on residualized standardized effect sizes which was the best predictor of specialist/generalist label.,assets/raw/isme/isme-018-PMC13548328-f3.webp,image/webp,82096,893c93739c6f25b58d99f6467266a51b843057da03ac19a39d2945545e14588f,downloaded_unannotated
isme-019-PMC13548325-f1,The ISME Journal,isme,core,2026,Symbiosis reshapes metabolism of sulfate-reducing bacteria in gutless marine worms,10.1093/ismejo/wrag190,PMC13548325,f1,https://pmc.ncbi.nlm.nih.gov/articles/PMC13548325/,https://cdn.ncbi.nlm.nih.gov/pmc/blobs/9e4f/13548325/40ff069cc476/wrag190f1.webp,https://cdn.ncbi.nlm.nih.gov/pmc/blobs/9e4f/13548325/40ff069cc476/wrag190f1.webp,https://creativecommons.org/licenses/by/4.0/,https://creativecommons.org/licenses/by/4.0/,mirror_allowed_ccby_or_cc0,caption_screen_pass,26,"Phylogenomic placement of Desulfoconcordia symbionts. (a) Phylogenomic tree based on 426 publicly available genomes and 44 Desulfoconcordia MAGs showing the placement of the symbionts within the class Desulfobacteria. Selected representative type strains are highlighted in their respective clades, and the closest relatives of the monophyletic Desulfoconcordia are labeled with their genome taxonomy database (GTDB) genus-level identifiers. Solid dots show UltraFast bootstrap scores greater than 95%. (b) Overview tree showing the placement of Desulfoconcordia within the phylum Desulfobacterota. Four shapes indicate the phylogenomic positions of syntrophic and symbiotic SRB. Star: Desulfoconcordia ; square: Syntrophic SRB of ethane degrading archaea (eth-SRB); circle: Syntrophic SRB of the “pink berry” consortium; triangle: Termite gut symbiont Candidatus Desulfovibrio trichonymphae. (c) Explanatory data showing genome size, sampling sites, and general habitat description. The trees were calculated using iqtree2 based on (a) the GToTree workflow and a hidden Markov model (HMM) set of 74 bacterial single-copy genes and (b) the marker gene sets assigned by checkM.",assets/raw/isme/isme-019-PMC13548325-f1.webp,image/webp,277594,6623e4869ca1d3182a813053efab2f1b97b5cffe3a8bf8bf7a20caa402f747a8,downloaded_unannotated
isme-020-PMC13548325-f4,The ISME Journal,isme,core,2026,Symbiosis reshapes metabolism of sulfate-reducing bacteria in gutless marine worms,10.1093/ismejo/wrag190,PMC13548325,f4,https://pmc.ncbi.nlm.nih.gov/articles/PMC13548325/,https://cdn.ncbi.nlm.nih.gov/pmc/blobs/9e4f/13548325/d52c74355114/wrag190f4.webp,https://cdn.ncbi.nlm.nih.gov/pmc/blobs/9e4f/13548325/d52c74355114/wrag190f4.webp,https://creativecommons.org/licenses/by/4.0/,https://creativecommons.org/licenses/by/4.0/,mirror_allowed_ccby_or_cc0,caption_screen_pass,21,"Expressed metabolic pathways in Desulfoconcordia from the host Olavius algarvensis . (a) Arrows indicate the proteins and/or pathways detected in the metaproteome. The completeness of pathways is denoted by fractions. Amino acids (AA) are listed in one or more of the four AA metabolism groups if at least one marker gene for that AA was present, with black circles showing biosynthetic pathways, white circles degradation pathways and black/white circles bidirectional pathways. (b) TCA cycle and glyoxylate bypass enzyme expression. Enzymes are colored according to rank in the metaproteome expression data ( Table S10 ).",assets/raw/isme/isme-020-PMC13548325-f4.webp,image/webp,257830,0be1c00f7a234c6e0d2fc8dd6c10b44fc03363c91543c595deeabb82eb73ce93,downloaded_unannotated
